t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0.309,50.04491341093634,0.08766044028555091,1200.0,124790.16202497647,-2388.2270727832697,121064.57165464005,121064.57165464005,-15655.521601855782,0.6000223795295899,0.37337826177926536,0.08542438454395668,1.3791433050229487
0.31,50.045000892929174,0.08731872492961613,1200.0,124790.16202497647,-2391.0071414664117,121058.83108600389,121058.83108600389,-15656.11420027672,0.6000224621590815,0.3733689837476538,0.08561024660145038,1.3776808420945317
0.311,50.04508803394334,0.08697842810309815,1200.0,124790.16202497647,-2393.7749940831773,121053.11462483602,121053.11462483602,-15656.700338161354,0.6000225447916666,0.3733598069527489,0.08579537048321798,1.3762236602737385
0.312,50.04517483538833,0.08663953124528295,1200.0,124790.16202497647,-2396.5309061792154,121047.42191755277,121047.42191755277,-15657.280465847964,0.6000226274273135,0.3733507243732226,0.08597975901248392,1.3747717712250007
0.313,50.0452612986553,0.08630201633063027,1200.0,124790.16202497647,-2399.2751473135745,121041.7526210436,121041.7526210436,-15657.85497680372,0.6000227100659925,0.37334172987663317,0.08616341501552818,1.3733251825533317
0.314,50.04534742511756,0.08596586585703984,1200.0,124790.16202497647,-2402.0079810227135,121036.10640244411,121036.10640244411,-15658.424211660427,0.6000227927076759,0.37333281815617436,0.08634634131976056,1.371883898103821
0.315,50.04543321613106,0.08563106283418595,1200.0,124790.16202497647,-2404.729664798196,121030.48293890769,121030.48293890769,-15658.988462026424,0.6000228753523372,0.3733239846709483,0.08652854075193742,1.3704479182442983
0.316,50.04551867303504,0.08529759077160567,1200.0,124790.16202497647,-2407.4404500769974,121024.88191737588,121024.88191737588,-15659.54797408572,0.6000229579999515,0.3733152255895797,0.08671001613652031,1.369017240131974
0.317,50.045603797152324,0.08496543366702089,1200.0,124790.16202497647,-2410.1405822434485,121019.30303434846,121019.30303434846,-15660.102951993897,0.6000230406504949,0.37330653773702777,0.08689077029415743,1.3675918579648312
0.318,50.045688589789954,0.08463457599445538,1200.0,124790.16202497647,-2412.8303006418605,121013.74599565355,121013.74599565355,-15660.653561081024,0.6000231233039443,0.373297918544427,0.08707080604028992,1.3661717632185129
0.319,50.04577305223964,0.08430500269247349,1200.0,124790.16202497647,-2415.509838598987,121008.21051621818,121008.21051621818,-15661.199930870785,0.6000232059602773,0.3732893660018167,0.0872501261838704,1.3647569448694072
0.32,50.04585718577817,0.08397669915248684,1200.0,124790.16202497647,-2418.1794234554573,121002.69631983976,121002.69631983976,-15661.742157925471,0.600023288619472,0.373280878613604,0.08742873352619582,1.3633473896046109
0.321,50.04594099166793,0.08364965120708921,1200.0,124790.16202497647,-2420.83927660544,120997.20313895892,120997.20313895892,-15662.28030852396,0.600023371281507,0.37327245535664944,0.08760663085983303,1.3619430820194278
0.322,50.04602447115734,0.08332384511853144,1200.0,124790.16202497647,-2423.4896135437957,120991.73071443409,120991.73071443409,-15662.814421182567,0.6000234539463608,0.373264095640819,0.08778382096764757,1.360544004803015
0.323,50.04610762548121,0.08299926756724517,1200.0,124790.16202497647,-2426.1306439200275,120986.27879531786,120986.27879531786,-15663.344509025288,0.6000235366140124,0.3732557992718995,0.08796030662191637,1.3591501389127825
0.324,50.04619045586122,0.08267590564058346,1200.0,124790.16202497647,-2428.7625715984027,120980.84713863596,120980.84713863596,-15663.870562011729,0.6000236192844404,0.37324756641674633,0.08813609058352678,1.3577614637381072
0.325,50.04627296350632,0.08235374682157058,1200.0,124790.16202497647,-2431.3855947236343,120975.43550916851,120975.43550916851,-15664.392549029619,0.6000237019576232,0.3732393975705576,0.08831117560125333,1.3563779572539105
0.326,50.04635514961305,0.08203277897790039,1200.0,124790.16202497647,-2433.999905791578,120970.04367923424,120970.04367923424,-15664.91041985876,0.6000237846335393,0.37323129352616163,0.08848556441110812,1.354999596164617
0.327,50.04643701536602,0.081712990351069,1200.0,124790.16202497647,-2436.605691724374,120964.6714284776,120964.6714284776,-15665.424107013088,0.6000238673121666,0.37322325534522016,0.0886592597357592,1.3536263560389945
0.328,50.04651856193827,0.08139436954557687,1200.0,124790.16202497647,-2439.2031339496107,120959.31854365896,120959.31854365896,-15665.933527467609,0.6000239499934824,0.3732152843312328,0.08883226428401975,1.3522582114363397
0.329,50.046599790491584,0.08107690551847375,1200.0,124790.16202497647,-2441.7924084829842,120953.98481844831,120953.98481844831,-15666.438584275184,0.6000240326774638,0.37320738200427117,0.08900458075039165,1.3508951360244754
0.33,50.04668070217685,0.08076058756894644,1200.0,124790.16202497647,-2444.37368601407,120948.67005322225,120948.67005322225,-15666.939168079536,0.6000241153640873,0.37319955007734007,0.08917621181466644,1.349537102689987
0.331,50.04676129813439,0.08044540532815854,1200.0,124790.16202497647,-2446.9471319947857,120943.37405486467,120943.37405486467,-15667.435158529863,0.6000241980533284,0.37319179043427886,0.08934716014158048,1.3481840836411099
0.332,50.04684157949432,0.08013134874926114,1200.0,124790.16202497647,-2449.512906730175,120938.09663657125,120938.09663657125,-15667.926425602142,0.6000242807451623,0.37318410510912686,0.08951742838051663,1.3468360505036638
0.333,50.046921547376925,0.0798184080975403,1200.0,124790.16202497647,-2452.0711654711654,120932.8376176573,120932.8376176573,-15668.412830832482,0.6000243634395634,0.3731764962668669,0.08968701916525611,1.3454929744104038
0.334,50.04700120289277,0.07950657394094664,1200.0,124790.16202497647,-2454.622058508988,120927.59682336984,120927.59682336984,-15668.89422846685,0.6000244461365052,0.37316896618547923,0.08985593511376988,1.3441548260841518
0.335,50.047080547143246,0.07919583714056487,1200.0,124790.16202497647,-2457.1657312709485,120922.3740847036,120922.3740847036,-15669.370466531365,0.6000245288359605,0.37316151723923846,0.09002417882804682,1.3428215759150535
0.336,50.04715958122065,0.0788861888415237,1200.0,124790.16202497647,-2459.7023244172724,120917.16923822051,120917.16923822051,-15669.841387828792,0.6000246115379011,0.3731541518831691,0.09019175289396528,1.3414931940322714
0.337,50.04723830620863,0.0785776204639361,1200.0,124790.16202497647,-2462.231973938766,120911.98212587375,120911.98212587375,-15670.3068308638,0.6000246942422982,0.37314687263861385,0.09035865988119318,1.3401696503704388
0.338,50.04731672318235,0.0782701236941623,1200.0,124790.16202497647,-2464.754811255076,120906.81259483525,120906.81259483525,-15670.766630701926,0.600024776949122,0.3731396820798425,0.09052490234312204,1.3388509147311605
0.339,50.0473948332088,0.07796369047620558,1200.0,124790.16202497647,-2467.2709633132913,120901.66049732758,120901.66049732758,-15671.220619765556,0.600024859658342,0.3731325828216456,0.09069048281682983,1.3375369568398419
0.34,50.047472637347056,0.07765831300335892,1200.0,124790.16202497647,-2469.7805526867214,120896.52569045969,120896.52569045969,-15671.6686285703,0.6000249423699264,0.3731255775078614,0.09085540382306843,1.3362277463981194
0.341,50.04755013664848,0.0773539837100204,1200.0,124790.16202497647,-2472.2836976736285,120891.40803606651,120891.40803606651,-15672.110486405947,0.6000250250838429,0.3731186688007708,0.09101966786628084,1.334923253132134
0.342,50.047627332157,0.07705069526374579,1200.0,124790.16202497647,-2474.7805123957837,120886.30740055283,120886.30740055283,-15672.546021964092,0.600025107800058,0.37311185937132624,0.09118327743463626,1.3336234468369028
0.343,50.04770422490931,0.07674844055749323,1200.0,124790.16202497647,-2477.2711068966464,120881.22365474091,120881.22365474091,-15672.975063915872,0.6000251905185375,0.37310515189016097,0.09134623500008376,1.3323282974170134
0.344,50.04778081593522,0.0764472127019919,1200.0,124790.16202497647,-2479.7555872390585,120876.15667372203,120876.15667372203,-15673.397441443729,0.6000252732392463,0.37309854901931794,0.0915085430184348,1.3310377749238493
0.345,50.047857106257574,0.07614700501852184,1200.0,124790.16202497647,-2482.234055602301,120871.10633671196,120871.10633671196,-15673.812984728547,0.6000253559621481,0.3730920534046776,0.09167020392945527,1.3297518495895646
0.346,50.04793309689279,0.07584781103161908,1200.0,124790.16202497647,-2484.7066103784005,120866.07252691043,120866.07252691043,-15674.221525394718,0.6000254386872061,0.37308566766904117,0.0918312201569701,1.3284704918580132
0.347,50.04800878885088,0.07554962446217227,1200.0,124790.16202497647,-2487.173346267576,120861.05513136412,120861.05513136412,-15674.622896917599,0.6000255214143826,0.3730793944058033,0.09199159410899328,1.3271936724127888
0.348,50.04808418313565,0.07525243922062748,1200.0,124790.16202497647,-2489.634354372734,120856.05404083364,120856.05404083364,-15675.016934993264,0.6000256041436386,0.37307323617321414,0.09215132817786167,1.325921362202585
0.349,50.04815928074494,0.07495624940041809,1200.0,124790.16202497647,-2492.0897222929034,120851.06914966414,120851.06914966414,-15675.403477874186,0.6000256868749347,0.3730671954891736,0.09231042474038187,1.3246535324640285
0.35,50.04823408267079,0.07466104927152138,1200.0,124790.16202497647,-2494.5395342155634,120846.1003556595,120846.1003556595,-15675.782366673195,0.6000257696082305,0.37306127482652013,0.09246888615799458,1.3233901547421363
0.351,50.04830858989961,0.07436683327429251,1200.0,124790.16202497647,-2496.983871007762,120841.14755996024,120841.14755996024,-15676.153445636322,0.6000258523434848,0.3730554766088069,0.09262671477693783,1.3221312009085708
0.352,50.04838280341233,0.0740735960134157,1200.0,124790.16202497647,-2499.422810305975,120836.21066692485,120836.21066692485,-15676.516562388106,0.6000259350806556,0.3730498032065072,0.09278391292842662,1.3208766431778158
0.353,50.04845672418453,0.07378133225203384,1200.0,124790.16202497647,-2501.856426604658,120831.28958401468,120831.28958401468,-15676.871568149623,0.6000260178197,0.37304425693364485,0.09294048292883332,1.319626454121419
0.354,50.04853035318671,0.07349003690607225,1200.0,124790.16202497647,-2504.2847913434216,120826.38422168231,120826.38422168231,-15677.218317932384,0.6000261005605745,0.37303884004480226,0.09309642707987922,1.318380606680424
0.355,50.048603691384336,0.07319970503872036,1200.0,124790.16202497647,-2506.707972992808,120821.49449326293,120821.49449326293,-15677.556670708791,0.6000261833032347,0.37303355473249317,0.09325174766883029,1.3171390741761158
0.356,50.04867673973803,0.07291033185507696,1200.0,124790.16202497647,-2509.1260371386193,120816.62031486942,120816.62031486942,-15677.886489560971,0.6000262660476355,0.3730284031248732,0.09340644696869708,1.3159018303191945
0.357,50.04874949920368,0.07262191269698154,1200.0,124790.16202497647,-2511.5390465647747,120811.76160529022,120811.76160529022,-15678.207641809666,0.6000263487937314,0.3730233872837601,0.09356052723844105,1.3146688492174814
0.358,50.048821970732604,0.07233444303801018,1200.0,124790.16202497647,-2513.94706133466,120806.91828589082,120806.91828589082,-15678.519999123482,0.6000264315414758,0.37301850920296187,0.09371399072317577,1.3134401053822746
0.359,50.04889415527172,0.07204791847851431,1200.0,124790.16202497647,-2516.3501388709656,120802.09028051772,120802.09028051772,-15678.823437612169,0.6000265142908218,0.37301377080685044,0.09386683965438658,1.3122155737334231
0.36,50.04896605376351,0.07176233474106478,1200.0,124790.16202497647,-2518.748334033977,120797.27751540593,120797.27751540593,-15679.117837901971,0.6000265970417215,0.37300917394921895,0.09401907625013449,1.310995229603244
0.361,50.04903766714631,0.07147768766575956,1200.0,124790.16202497647,-2521.141699198318,120792.47991908924,120792.47991908924,-15679.403085196504,0.6000266797941266,0.3730047204123584,0.09417070271526966,1.3097790487393508
0.362,50.04910899635437,0.07119397320583465,1200.0,124790.16202497647,-2523.530284328123,120787.69742231304,120787.69742231304,-15679.67906932408,0.6000267625479884,0.3730004119063504,0.09432172124164914,1.308567007306466
0.363,50.04918004231799,0.07091118742338372,1200.0,124790.16202497647,-2525.914137050667,120782.92995795037,120782.92995795037,-15679.94568477162,0.6000268453032572,0.3729962500685645,0.09447213400835183,1.3073590818873133
0.364,50.04925080596353,0.07062932648526281,1200.0,124790.16202497647,-2528.2933027284057,120778.17746092033,120778.17746092033,-15680.202830706841,0.6000269280598832,0.3729922364633404,0.09462194318189558,1.3061552494826492
0.365,50.049321288213584,0.07034838665906404,1200.0,124790.16202497647,-2530.667824529458,120773.43986810945,120773.43986810945,-15680.450410988158,0.600027010817816,0.3729883725818584,0.09477115091644273,1.3049554875105196
0.366,50.04939148998716,0.0700683643091854,1200.0,124790.16202497647,-2533.037743496523,120768.71711829549,120768.71711829549,-15680.688334166063,0.6000270935770043,0.37298465984214363,0.09491975935402197,1.3037597738047755
0.367,50.0494614121996,0.06978925589317585,1200.0,124790.16202497647,-2535.4030986142466,120764.00915207356,120764.00915207356,-15680.916513474236,0.6000271763373971,0.3729810995892292,0.09506777062473981,1.3025680866129332
0.368,50.04953105576275,0.06951105795809692,1200.0,124790.16202497647,-2537.7639268750268,120759.31591178512,120759.31591178512,-15681.134866811806,0.6000272590989423,0.3729776930954559,0.09521518684698997,1.3013804045934296
0.369,50.04960042158515,0.06923376713695806,1200.0,124790.16202497647,-2540.1202633432845,120754.63734144898,120754.63734144898,-15681.343316717886,0.6000273418615876,0.37297444156089155,0.09536201012766214,1.3001967068123241
0.37,50.049669510571896,0.06895738014544243,1200.0,124790.16202497647,-2542.4721412182166,120749.97338669491,120749.97338669491,-15681.541790339052,0.6000274246252804,0.37297134611385996,0.09550824256235108,1.2990169727394936
0.371,50.049738323625014,0.06868189377850706,1200.0,124790.16202497647,-2544.819591895026,120745.32399469914,120745.32399469914,-15681.730219390032,0.6000275073899676,0.3729684078115734,0.09565388623556222,1.2978411822443734
0.372,50.049806861643226,0.0684073049073778,1200.0,124790.16202497647,-2547.1626450246595,120740.68911412233,120740.68911412233,-15681.90854010865,0.6000275901555959,0.3729656276408567,0.09579894322091678,1.2966693155912827
0.373,50.049875125522234,0.06813361047641973,1200.0,124790.16202497647,-2549.5013285720606,120736.06869504972,120736.06869504972,-15682.076693204535,0.6000276729221118,0.37296300651896375,0.09594341558134743,1.2955013534343884
0.374,50.04994311615476,0.06786080750016679,1200.0,124790.16202497647,-2551.83566887297,120731.46268893304,120731.46268893304,-15682.23462380384,0.6000277556894612,0.37296054529445694,0.09608730536930038,1.294337276812327
0.375,50.05001083443053,0.0675888930605611,1200.0,124790.16202497647,-2554.16569068927,120726.87104853465,120726.87104853465,-15682.38228138905,0.6000278384575899,0.3729582447481635,0.09623061462692944,1.2931770671425333
0.376,50.050078281236374,0.06731786430420773,1200.0,124790.16202497647,-2556.4914172629215,120722.29372787365,120722.29372787365,-15682.519619734676,0.6000279212264434,0.37295610559419345,0.09637334538628577,1.2920207062153122
0.377,50.05014545745641,0.06704771843963206,1200.0,124790.16202497647,-2558.81287036848,120717.73068217371,120717.73068217371,-15682.646596839582,0.6000280039959671,0.37295412848100756,0.09651549966950727,1.2908681761876761
0.378,50.050212363971944,0.06677845273481879,1200.0,124790.16202497647,-2561.1300703642532,120713.18186781277,120713.18186781277,-15682.763174856822,0.6000280867661061,0.3729523139925275,0.09665707948900963,1.2897194595769728
0.379,50.050279001661565,0.06651006451477015,1200.0,124790.16202497647,-2563.4430362420862,120708.64724227462,120708.64724227462,-15682.869320019401,0.6000281695368053,0.37295066264930443,0.09679808684766228,1.2885745392543564
0.38,50.050345371401264,0.0662425511590394,1200.0,124790.16202497647,-2565.7517856758136,120704.12676410215,120704.12676410215,-15682.965002564408,0.6000282523080095,0.37294917490971397,0.09693852373896807,1.2874333984381032
0.381,50.05041147406445,0.06597591009952058,1200.0,124790.16202497647,-2568.0563350684142,120699.62039285222,120699.62039285222,-15683.05019665553,0.6000283350796634,0.3729478511711753,0.09707839214724427,1.2862960206867942
0.382,50.050477310521956,0.06571013881821987,1200.0,124790.16202497647,-2570.3566995978604,120695.12808905209,120695.12808905209,-15683.124880302634,0.6000284178517113,0.37294669177141493,0.09721769404778857,1.2851623898924118
0.383,50.05054288164219,0.06544523484510507,1200.0,124790.16202497647,-2572.6528932617175,120690.64981415764,120690.64981415764,-15683.18903528067,0.600028500624098,0.37294569698973934,0.09735643140705,1.2840324902733469
0.384,50.050608188291044,0.06518119575611199,1200.0,124790.16202497647,-2574.9449289205013,120686.18553051291,120686.18553051291,-15683.24264704714,0.6000285833967675,0.3729448670483316,0.09749460618279306,1.2829063063673432
0.385,50.05067323133208,0.06491801917110761,1200.0,124790.16202497647,-2577.2328183398145,120681.73520131114,120681.73520131114,-15683.285704658496,0.6000286661696642,0.37294420211356005,0.09763222032425867,1.2817838230244032
0.386,50.0507380116265,0.0646557027520099,1200.0,124790.16202497647,-2579.516572231309,120677.29879055718,120677.29879055718,-15683.318200686055,0.6000287489427325,0.37294370229729673,0.0977692757723239,1.280665025399656
0.387,50.050802530033195,0.0643942442009523,1200.0,124790.16202497647,-2581.796200292475,120672.87626303137,120672.87626303137,-15683.340131131292,0.6000288317159165,0.3729433676582443,0.09790577445965656,1.2795498989462206
0.388,50.0508667874088,0.06413364125852701,1200.0,124790.16202497647,-2584.0717112452894,120668.46758425473,120668.46758425473,-15683.35149534056,0.6000289144891605,0.37294319820326927,0.09804171831086488,1.2784384294080646
0.389,50.05093078460766,0.06387389170210082,1200.0,124790.16202497647,-2586.3431128737607,120664.07272045537,120664.07272045537,-15683.352295919602,0.6000289972624088,0.3729431938887402,0.09817710924264245,1.2773306028128857
0.39,50.05099452248195,0.06361499334414054,1200.0,124790.16202497647,-2588.6104120603673,120659.69163853627,120659.69163853627,-15683.342538648338,0.6000290800356055,0.3729433546218589,0.09831194916391281,1.2762264054650094
0.391,50.051058001881714,0.06335694403064114,1200.0,124790.16202497647,-2590.8736148214425,120655.32430604417,120655.32430604417,-15683.322232395607,0.6000291628086951,0.37294368026199254,0.09844623997596832,1.2751258239383292
0.392,50.05112122365482,0.0630997416396381,1200.0,124790.16202497647,-2593.132726341522,120650.97069113949,120650.97069113949,-15683.291389034519,0.6000292455816219,0.3729441706219953,0.09857998357260876,1.2740288450692856
0.393,50.051184188647085,0.06284338407971174,1200.0,124790.16202497647,-2595.387751006664,120646.63076256763,120646.63076256763,-15683.250023357852,0.6000293283543303,0.3729448254695292,0.09871318184027233,1.2729354559499078
0.394,50.05124689770225,0.0625878692885729,1200.0,124790.16202497647,-2597.638692436781,120642.30448963116,120642.30448963116,-15683.198152994231,0.600029411126765,0.3729456445283708,0.09884583665816664,1.2718456439209131
0.395,50.05130935166198,0.06233319523177068,1200.0,124790.16202497647,-2599.885553517018,120637.99184216309,120637.99184216309,-15683.135798325096,0.6000294938988706,0.37294662747970736,0.09897794989839592,1.2707593965648778
0.396,50.05137155136593,0.062079359901357004,1200.0,124790.16202497647,-2602.128336428157,120633.69279050134,120633.69279050134,-15683.06298240148,0.6000295766705919,0.37294777396343265,0.09910952342607748,1.269676701699493
0.397,50.051433497651765,0.06182636131463824,1200.0,124790.16202497647,-2604.367042676133,120629.40730546397,120629.40730546397,-15682.979730862613,0.6000296594418738,0.3729490835794157,0.09924055909946312,1.2685975473708975
0.398,50.05149519135524,0.06157419751292141,1200.0,124790.16202497647,-2606.60167312062,120625.1353583254,120625.1353583254,-15682.886071855342,0.6000297422126614,0.3729505558887548,0.09937105877005781,1.2675219218470957
0.399,50.05155663331011,0.06132286656043307,1200.0,124790.16202497647,-2608.8322280027705,120620.87692079342,120620.87692079342,-15682.782035954326,0.6000298249828999,0.3729521904150206,0.09950102428273154,1.2664498136114721
0.4,50.05161782434823,0.06107236654319207,1200.0,124790.16202497647,-2611.05870697208,120616.63196498752,120616.63196498752,-15682.667656082891,0.6000299077525347,0.37295398664548757,0.09963045747582511,1.2653812113564116
0.401,50.05167876529954,0.06082269556790343,1200.0,124790.16202497647,-2613.2811091124304,120612.40046341758,120612.40046341758,-15682.542967435524,0.6000299905215115,0.3729559440323388,0.09975936018125785,1.26431610397701
0.402,50.05173945699215,0.060573851760951744,1200.0,124790.16202497647,-2615.4994329673227,120608.18238896356,120608.18238896356,-15682.408007401606,0.600030073289776,0.37295806199385234,0.09988773422463283,1.2632544805648935
0.403,50.05179990025227,0.0603258332674213,1200.0,124790.16202497647,-2617.713676564324,120603.977714856,120603.977714856,-15682.262815489932,0.6000301560572742,0.37296033991557376,0.10001558142533562,1.2621963304021457
