t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
4.645,49.9320022161099,2.08678264808597e-06,1200,124790.154760485,3479.53729649211,130400.069435722,130400.069435722,15928.5056524768,0.599926866690989,0.369142247734999,0.133746217330445,1.00000712725305
4.646,49.9320022181929,2.09988964730676e-06,1200,124790.154760485,3479.53714015838,130400.069723892,130400.069723892,15928.5044366034,0.599926773541841,0.369142241327751,0.133746255445914,1.00000718582029
4.647,49.9320022202891,2.11292815980734e-06,1200,124790.154760485,3479.53698292568,130400.070010856,130400.070010856,15928.5032217395,0.599926680392699,0.369142235036011,0.133746293533617,1.00000724408152
4.648,49.9320022223982,2.12589854804734e-06,1200,124790.154760485,3479.53682479871,130400.07029662,130400.07029662,15928.5020078798,0.599926587243565,0.369142228859175,0.1337463315937,1.00000730203833
4.649,49.9320022245203,2.13880117012791e-06,1200,124790.154760485,3479.53666578214,130400.07058119,130400.07058119,15928.5007950192,0.599926494094437,0.369142222796642,0.133746369626307,1.00000735969232
4.65,49.9320022266552,2.15163637211011e-06,1200,124790.154760485,3479.53650588061,130400.070864573,130400.070864573,15928.4995831523,0.599926400945317,0.369142216847816,0.133746407631583,1.00000741704507
4.651,49.932002228803,2.16440450427255e-06,1200,124790.154760485,3479.53634509876,130400.071146774,130400.071146774,15928.4983722741,0.599926307796203,0.369142211012102,0.133746445609669,1.00000747409815
4.652,49.9320022309634,2.17710592800152e-06,1200,124790.154760485,3479.53618344118,130400.071427801,130400.071427801,15928.4971623792,0.599926214647097,0.369142205288911,0.133746483560708,1.00000753085313
4.653,49.9320022331366,2.18974098372564e-06,1200,124790.154760485,3479.53602091245,130400.071707658,130400.071707658,15928.4959534626,0.599926121497998,0.369142199677653,0.13374652148484,1.00000758731157
4.654,49.9320022353223,2.20231002353959e-06,1200,124790.154760485,3479.53585751711,130400.071986352,130400.071986352,15928.4947455193,0.599926028348906,0.369142194177744,0.133746559382207,1.00000764347501
4.655,49.9320022375205,2.21481338770393e-06,1200,124790.154760485,3479.53569325971,130400.07226389,130400.07226389,15928.493538544,0.599925935199821,0.369142188788601,0.133746597252948,1.000007699345
4.656,49.9320022397313,2.22725141774236e-06,1200,124790.154760485,3479.53552814473,130400.072540277,130400.072540277,15928.4923325318,0.599925842050743,0.369142183509647,0.133746635097203,1.00000775492306
4.657,49.9320022419544,2.23962445082548e-06,1200,124790.154760485,3479.53536217667,130400.072815519,130400.072815519,15928.4911274775,0.599925748901672,0.369142178340307,0.133746672915108,1.00000781021073
4.658,49.9320022441899,2.25193284544476e-06,1200,124790.154760485,3479.53519535998,130400.073089623,130400.073089623,15928.4899233762,0.599925655752608,0.369142173280008,0.133746710706802,1.00000786520952
4.659,49.9320022464376,2.26417692600431e-06,1200,124790.154760485,3479.5350276991,130400.073362593,130400.073362593,15928.4887202229,0.599925562603551,0.36914216832818,0.133746748472423,1.00000791992095
4.66,49.9320022486975,2.27635702894293e-06,1200,124790.154760485,3479.53485919843,130400.073634437,130400.073634437,15928.4875180128,0.599925469454502,0.369142163484254,0.133746786212106,1.0000079743465
4.661,49.9320022509696,2.28847349490606e-06,1200,124790.154760485,3479.53468986236,130400.07390516,130400.07390516,15928.4863167408,0.599925376305459,0.369142158747667,0.133746823925987,1.00000802848768
4.662,49.9320022532538,2.30052665030366e-06,1200,124790.154760485,3479.53451969526,130400.074174767,130400.074174767,15928.4851164022,0.599925283156423,0.369142154117859,0.133746861614201,1.00000808234597
4.663,49.9320022555499,2.31251682575773e-06,1200,124790.154760485,3479.53434870147,130400.074443265,130400.074443265,15928.483916992,0.599925190007394,0.36914214959427,0.133746899276883,1.00000813592285
4.664,49.9320022578581,2.32444435608616e-06,1200,124790.154760485,3479.53417688531,130400.07471066,130400.07471066,15928.4827185053,0.599925096858373,0.369142145176347,0.133746936914164,1.00000818921979
4.665,49.9320022601781,2.33630955696527e-06,1200,124790.154760485,3479.53400425108,130400.074976957,130400.074976957,15928.4815209373,0.599925003709358,0.369142140863537,0.133746974526179,1.00000824223826
