scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C4,1.2,3,-27.592924872102333,0.0,27.592924872102333,1.0
C4,1.2,4,-9.701381743204253,0.0,9.701381743204253,1.0
C4,1.2,5,0.00013421093823418542,0.0,0.00013421093823418542,-1.0
C1,1.3,1,-184.0377340686391,0.0,184.0377340686391,1.0
C1,1.3,2,-50.000275750557975,0.0,50.000275750557975,1.0
C1,1.3,3,-22.586883746735754,0.0,22.586883746735754,1.0
C1,1.3,4,-3.5292555017268668,0.0,3.5292555017268668,1.0
C1,1.3,5,0.0,0.0,0.0,1.0
C2,1.3,1,-179.81754583104822,0.0,179.81754583104822,1.0
C2,1.3,2,-50.001698744563534,0.0,50.001698744563534,1.0
C2,1.3,3,-25.661650244288968,0.0,25.661650244288968,1.0
C2,1.3,4,-4.673254247758808,0.0,4.673254247758808,1.0
C2,1.3,5,0.0,0.0,0.0,1.0
C3,1.3,1,-181.75669569229836,0.0,181.75669569229836,1.0
C3,1.3,2,-50.00273502496675,0.0,50.00273502496675,1.0
C3,1.3,3,-22.34912260241331,0.0,22.34912260241331,1.0
C3,1.3,4,-6.0455957479810705,0.0,6.0455957479810705,1.0
C3,1.3,5,0.0,0.0,0.0,1.0
C4,1.3,1,-82.32095775312342,0.0,82.32095775312342,1.0
C4,1.3,2,-50.00016649282205,0.0,50.00016649282205,1.0
C4,1.3,3,-28.421253491255488,0.0,28.421253491255488,1.0
C4,1.3,4,-9.846538531490285,0.0,9.846538531490285,1.0
C4,1.3,5,0.00013423511527540523,0.0,0.00013423511527540523,-1.0
C1,1.4,1,-169.64979580963362,0.0,169.64979580963362,1.0
C1,1.4,2,-50.00001745248077,0.0,50.00001745248077,1.0
C1,1.4,3,-22.83477396980583,0.0,22.83477396980583,1.0
C1,1.4,4,-3.4949732217707083,0.0,3.4949732217707083,1.0
C1,1.4,5,0.0,0.0,0.0,1.0
C2,1.4,1,-164.62184131055463,0.0,164.62184131055463,1.0
C2,1.4,2,-50.000126727890525,0.0,50.000126727890525,1.0
C2,1.4,3,-26.562309732488238,0.0,26.562309732488238,1.0
C2,1.4,4,-4.795282682757464,0.0,4.795282682757464,1.0
C2,1.4,5,0.0,0.0,0.0,1.0
C3,1.4,1,-166.9515683032148,0.0,166.9515683032148,1.0
C3,1.4,2,-50.00019254192102,0.0,50.00019254192102,1.0
C3,1.4,3,-22.77214134948031,0.0,22.77214134948031,1.0
C3,1.4,4,-6.255658259074689,0.0,6.255658259074689,1.0
C3,1.4,5,0.0,0.0,0.0,1.0
