scenario,scheme,rocof,dfmax,settling,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
s6_madiun_cerah_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.327449775770157,4.57907362246223,0.573126638700782
s6_madiun_cerah_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.199331637318154,4.6370680270619635,0.5758238833939301
s6_madiun_cerah_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,2.139286682995045,4.657314084194921,0.5770879994704502
s6_madiun_cerah_cont,C4_proposed,1.100661341126346,1.7375803071251923,NaN,2.7658422779144263,4.63423514811293,0.569469792685419
s6_madiun_berawan_cont,C0_no_vic,1.1572056983744208,15.154836949409287,NaN,0.0,0.0,0.6
s6_madiun_berawan_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.1766914118635583,4.57907362246223,0.5681813754147442
s6_madiun_berawan_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.044183883942214,4.6370680270619635,0.5709710283072648
s6_madiun_berawan_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,1.9816485542646838,4.657314084194921,0.5722875733386332
s6_madiun_berawan_cont,C4_proposed,1.0866727203735755,1.6663377711693101,NaN,2.6671404606107707,4.635171755443742,0.5648355778965722
s6_madiun_hujan_cont,C0_no_vic,1.1572056983686654,15.15483694940962,NaN,0.0,0.0,0.6
s6_madiun_hujan_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.1947914523874226,4.57907362246223,0.5674767062593716
s6_madiun_hujan_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.0598787898321924,4.6370680270619635,0.5703169935649527
s6_madiun_hujan_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,1.99613691163463,4.657314084194921,0.5716589396175833
s6_madiun_hujan_cont,C4_proposed,1.0823207658108107,1.6452418152710209,NaN,2.673163611256192,4.63544788632782,0.5634586644642138
