run_id,scheme,SCR,H_sys,D_sys,dP_pu,SOC0,gain_scale,rocof,dfmax,settling,settling_loose,df_end,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
728,C2_fuzzy_vic,4.815454501758648,1.549905710798879,3.3996818757301215,0.05393061282563565,0.533665873692533,1.2696462957859294,0.09172307091439783,0.0645075867261724,0.21760000000000002,0.0,0.04136945505099732,0.024829576663953284,4.955247277393937e-9,0.5341376823845551
728,C3_adapt_vic,4.815454501758648,1.549905710798879,3.3996818757301215,0.05393061282563565,0.533665873692533,1.2696462957859294,0.09099991761331686,0.06177772730211473,0.15370000000000017,0.0,0.040187858934210396,0.024051005087485686,3.796885721385479e-10,0.5341228882127527
728,C4_proposed,4.815454501758648,1.549905710798879,3.3996818757301215,0.05393061282563565,0.533665873692533,1.2696462957859294,0.18612254981071868,0.11771975043620131,NaN,0.0,0.08923664637163853,0.0491325880403873,9.757865365827455e-5,0.5345994904746125
729,C0_no_vic,2.1310605257906245,5.689620008893478,2.1839868499935235,0.09430728306321731,0.738541365751556,0.9972913004225054,0.02930458644357256,1.187857380110934,NaN,NaN,1.187857380110934,0.0,0.0,0.738541365751556
729,C1_const_vic,2.1310605257906245,5.689620008893478,2.1839868499935235,0.09430728306321731,0.738541365751556,0.9972913004225054,0.0030776375110974615,0.00033505901188135567,0.0,0.0,1.0745146923341053e-6,0.02155132147942249,4.0503711890778506e-5,0.7389508729303895
729,C2_fuzzy_vic,2.1310605257906245,5.689620008893478,2.1839868499935235,0.09430728306321731,0.738541365751556,0.9972913004225054,0.0030671498097234436,0.0003354989059900504,0.0,0.0,1.0703233925823952e-6,0.02155132147942249,4.034632234834135e-5,0.7389508729303895
729,C3_adapt_vic,2.1310605257906245,5.689620008893478,2.1839868499935235,0.09430728306321731,0.738541365751556,0.9972913004225054,0.003057429995649838,0.00033593550522681426,0.0,0.0,1.0660754270475081e-6,0.02155132147942249,4.018706627539359e-5,0.7389508729303895
729,C4_proposed,2.1310605257906245,5.689620008893478,2.1839868499935235,0.09430728306321731,0.738541365751556,0.9972913004225054,0.27305871446991126,0.16090254538157467,NaN,0.0,0.08323067578005094,0.050822037761016466,7.15488542773528e-5,0.7395070759972234
730,C0_no_vic,4.8729692698482925,3.8552840824444314,1.4236092054640705,0.08954683967057955,0.33814975331391245,0.9161494570570202,0.08339273660403983,1.9137136063540723,NaN,NaN,1.9137136063540723,0.0,0.0,0.33814975331391245
730,C1_const_vic,4.8729692698482925,3.8552840824444314,1.4236092054640705,0.08954683967057955,0.33814975331391245,0.9161494570570202,0.003906799723978335,0.0005124890787655545,0.0,0.0,2.4920980479237187e-7,0.022542931755699304,1.1760334396967664e-5,0.33857810391467985
